Add Date,Ex-factory,Client Code,Client,Trim Size,Format,PP,Signature,Illustration,Binding Cat.,Binding,Job Amount,Invoiced Amount,Cost Price,Job Qty,Fold,Bind,Lam?,Foil?,UV?,Emboss?,Lam,Foil,Emboss,Spot UV,Text Stock Code 
6/01/2015 10:44,6/01/2015,clientA,Australia Pty Ltd,198x129,B,136,136pp,N,PB,PERFECT,"1,232.00","1,291.68",813.79,"1,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBOW-0980-073
7/01/2015 6:34,7/01/2015,clientA,Australia Pty Ltd,198x129,B,400,400pp,N,PB,PERFECT,"7,231.00","7,573.00","4,079.60","3,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-055
7/01/2015 7:15,7/01/2015,clientA,Australia Pty Ltd,198x129,B,416,"384pp, 32pp",N,PB,PERFECT,"11,018.00","10,832.25","7,504.26","8,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-1140-050
7/01/2015 7:25,7/01/2015,clientB,AU,175x110,A,32,32pp,N,SS,SADDLE,"1,640.00","1,661.50",881.07,"1,000",Done,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,TITANS-0650-0910-128
7/01/2015 7:42,7/01/2015,clientA,Australia Pty Ltd,198x129,B,352,352pp,N,PB,PERFECT,"5,696.00","5,921.04","3,303.28","3,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
7/01/2015 8:14,7/01/2015,clientA,Australia Pty Ltd,198x129,B,600,"576pp, 24pp",N,PB,PERFECT,"18,616.00","18,777.33","12,142.71","10,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-1140-050
7/01/2015 8:51,7/01/2015,clientA,Australia Pty Ltd,198x129,B,504,504pp,N,PB,PERFECT,"7,887.00","8,302.00","4,470.59","3,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
7/01/2015 9:41,7/01/2015,clientA,Australia Pty Ltd,198x129,B,544,544pp,N,PB,PERFECT,"10,916.00","11,238.75","7,472.09","5,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
7/01/2015 10:23,7/01/2015,clientA,Australia Pty Ltd,233x154,C,320,320pp,N,PB,PERFECT,"4,895.60","5,113.28","3,087.60","1,600",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-065
7/01/2015 11:03,7/01/2015,clientA,Australia Pty Ltd,233x154,C,416,416pp,N,PB,PERFECT,"5,763.50","6,031.93","3,569.46","1,500",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-065
7/01/2015 12:06,7/01/2015,clientA,Australia Pty Ltd,233x154,C,304,"288pp, 16pp",N,PB,PERFECT,"4,157.00","4,355.00","3,759.66","1,500",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBOW-0980-073
7/01/2015 12:42,7/01/2015,clientA,Australia Pty Ltd,233x154,C,480,480pp,N,PB,PERFECT,"6,610.00","6,833.82","3,482.10","2,000",N/A ,N/A ,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-0980-065
7/01/2015 13:04,7/01/2015,clientA,Australia Pty Ltd,233x154,C,272,272pp,N,PB,PERFECT,"1,784.00","1,784.00","1,151.10",500,N/A ,N/A ,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-0980-065
7/01/2015 13:32,7/01/2015,clientA,Australia Pty Ltd,198x129,B,504,504pp,N,PB,PERFECT,"2,177.00","2,177.00","1,514.06",750,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
7/01/2015 14:27,7/01/2015,clientA,Australia Pty Ltd,198x129,B,520,520pp,N,PB,PERFECT,"2,827.00","2,852.00","1,876.65","1,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
7/01/2015 14:45,7/01/2015,clientA,Australia Pty Ltd,198x129,B,592,592pp,N,PB,PERFECT,"2,452.50","2,502.50","1,721",750,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
7/01/2015 15:59,7/01/2015,clientA,Australia Pty Ltd,198x129,B,656,656pp,N,PB,PERFECT,"3,193.00","3,193.00","1,911.58","1,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 7:17,8/01/2015,clientA,Australia Pty Ltd,198x129,B,432,432pp,N,PB,PERFECT,"2,760.00","2,785.00","2,003.84","1,000",N/A ,N/A ,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 7:54,8/01/2015,clientA,Australia Pty Ltd,233x154,C,256,"192pp, 16pp",N,PB,PERFECT,"2,500.00","2,500.00","2,708.24","1,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBOW-0980-073
8/01/2015 8:11,8/01/2015,clientA,Australia Pty Ltd,233x154,C,256,"192pp, 16pp",N,PB,PERFECT,"2,500.00","2,500.00","2,708.24","1,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBOW-0980-073
8/01/2015 9:08,8/01/2015,clientA,Australia Pty Ltd,198x129,B,144,144pp,N,PB,PERFECT,674,764,596.73,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-055
8/01/2015 9:27,8/01/2015,clientA,Australia Pty Ltd,227x152,C,248,"208pp, 2 x 16pp, 1 x 8pp",Y,PB,PERFECT,"3,175.00","3,175.00","1,923.61",750,N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBOW-0980-073
8/01/2015 9:35,8/01/2015,clientB,AU,198x128,B,240,"192pp, 48pp",N,PB,PERFECT,"2,198.50","2,231.47","1,883.80","1,500",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
8/01/2015 10:15,8/01/2015,clientA,Australia Pty Ltd,233x154,C,624,624pp,N,PB,PERFECT,"2,479.00","2,479.00","1,511.45",500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-065
8/01/2015 10:29,8/01/2015,clientA,Australia Pty Ltd,178x111,A,216,216pp,N,PB,PERFECT,372,372,322.54,200,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 10:36,8/01/2015,clientA,Australia Pty Ltd,198x129,B,400,400pp,N,PB,PERFECT,"1,489.00","1,489.00","1,111.14",500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 10:45,8/01/2015,clientA,Australia Pty Ltd,198x129,B,408,408pp,N,PB,PERFECT,"1,184.00","1,184.00",767.95,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 10:59,8/01/2015,clientA,Australia Pty Ltd,198x129,B,352,352pp,N,PB,PERFECT,"1,501.00","1,501.00","1,031.68",750,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 11:00,8/01/2015,clientA,Australia Pty Ltd,198x129,B,384,384pp,N,PB,PERFECT,"1,597.50","1,597.50",972.94,750,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 11:18,8/01/2015,clientA,Australia Pty Ltd,198x129,B,352,352pp,N,PB,PERFECT,"1,055.00","1,055.00",848.97,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 12:03,8/01/2015,clientB,AU,198x128,B,252,"216pp, 36pp",N,PB,PERFECT,"2,852.00","2,887.00","2,778.43","1,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
8/01/2015 12:27,8/01/2015,clientA,Australia Pty Ltd,198x129,B,384,384pp,N,PB,PERFECT,"1,135.00","1,135.00",728.06,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 12:48,8/01/2015,clientA,Australia Pty Ltd,198x129,B,280,280pp,N,PB,PERFECT,"1,476.00","1,476.00","1,052.68",750,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 13:18,8/01/2015,clientA,Australia Pty Ltd,198x129,B,216,216pp,N,PB,PERFECT,"1,281.00","1,281.00",960.45,600,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 14:30,8/01/2015,clientA,Australia Pty Ltd,178x111,A,256,256pp,N,PB,PERFECT,952.5,952.5,705.72,750,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
8/01/2015 15:02,8/01/2015,clientB,AU,198x128,B,472,"384pp, 16pp, 72pp",N,PB,PERFECT,"6,216.00","6,324.02","5,223.86","3,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
8/01/2015 15:19,8/01/2015,clientB,AU,198x128,B,588,"480pp, 72pp, 36pp",N,PB,PERFECT,"6,977.00","7,136.39","5,241.35","2,000",N/A ,Done,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-1140-065
8/01/2015 15:40,8/01/2015,ABCD,ABCD Pty Ltd,198x128,B,224,224 pp,N,PB,PERFECT,"1,730.00","1,730.00",778.37,750,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-065
8/01/2015 16:33,8/01/2015,clientB,AU,198x128,B,456,"432pp, 24pp",N,PB,PERFECT,"4,499.00","5,016.90","4,481.37","2,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
12/01/2015 10:19,12/01/2015,clientA,Australia Pty Ltd,198x129,B,336,336pp,N,PB,PERFECT,"1,411.00","1,411.00","1,184.33",500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-055
12/01/2015 10:24,12/01/2015,clientA,Australia Pty Ltd,198x129,B,272,272pp,N,PB,PERFECT,906,906,640.51,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
12/01/2015 10:44,12/01/2015,clientB,AU,234x153,C,1008,1008pp,N,PB,PERFECT,"15,550.00","15,969.42","10,592.80","3,000",N/A ,Done,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBO-0980-050
12/01/2015 10:47,12/01/2015,clientA,Australia Pty Ltd,198x129,B,216,216pp,N,PB,PERFECT,846,846,563.92,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-065
12/01/2015 11:17,12/01/2015,clientA,Australia Pty Ltd,198x129,B,416,"400pp, 1 x 16pp",Y,PB,PERFECT,"1,455.00","1,455.00","1,076.32",500,N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
12/01/2015 12:07,12/01/2015,clientA,Australia Pty Ltd,233x154,C,336,336pp,N,PB,PERFECT,"15,831.00","16,364.99","12,137.65","8,000",N/A ,N/A ,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-0980-065
12/01/2015 13:04,12/01/2015,clientA,Australia Pty Ltd,233x154,C,432,432pp,N,PB,PERFECT,"12,108.00","12,415.00","8,187.83","4,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-065
13/01/2015 7:33,13/01/2015,clientB,AU,198x128,B,512,"432pp, 32pp, 48pp",N,PB,PERFECT,"5,820.00","5,916.05","4,903.05","2,500",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
13/01/2015 7:58,13/01/2015,clientB,AU,198x128,B,648,"576pp, 72pp",N,PB,PERFECT,"7,161.00","7,236.70","6,013.68","3,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
13/01/2015 8:19,13/01/2015,clientA,Australia Pty Ltd,233x154,C,320,320pp,N,PB,PERFECT,"10,045.00","10,173.80","7,004.76","5,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-065
13/01/2015 8:33,13/01/2015,clientB,AU,198x128,B,432,"360pp, 72pp",N,PB,PERFECT,"5,259.50","5,344.95","4,367.08","2,500",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
13/01/2015 11:54,13/01/2015,clientB,AU,198x128,B,416,"360pp, 32pp, 24pp",N,PB,PERFECT,"3,818.50","3,881.27","3,334.97","1,500",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
13/01/2015 15:09,13/01/2015,clientA,Australia Pty Ltd,198x129,AB,320,"312pp, 1 x 8pp",Y,PB,PERFECT,961,961,803.09,300,N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0320-055
13/01/2015 15:19,13/01/2015,clientA,Australia Pty Ltd,198x129,B,384,384pp,N,PB,PERFECT,765,765,588.45,300,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
13/01/2015 15:33,13/01/2015,clientA,Australia Pty Ltd,198x129,AB,592,592pp,N,PB,PERFECT,478,478,505.25,100,N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0320-050
13/01/2015 15:53,13/01/2015,clientA,Australia Pty Ltd,198x129,B,464,464pp,N,PB,PERFECT,"1,376.00","1,376.00",887.07,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-0980-055
13/01/2015 16:21,13/01/2015,clientA,Australia Pty Ltd,198x129,B,240,240pp,N,PB,PERFECT,838,838,552.5,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
14/01/2015 7:33,14/01/2015,clientA,Australia Pty Ltd,198x129,B,384,384pp,N,PB,PERFECT,580,580,433.75,200,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
14/01/2015 7:54,14/01/2015,clientA,Australia Pty Ltd,227x152,C,432,432pp,N,PB,PERFECT,588,588,510.98,100,N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBOW-0320-073
14/01/2015 8:08,14/01/2015,clientA,Australia Pty Ltd,198x129,B,288,288pp,N,PB,PERFECT,985,985,682.72,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-055
14/01/2015 8:37,14/01/2015,clientA,Australia Pty Ltd,198x129,B,384,384pp,N,PB,PERFECT,"1,135.00","1,135.00",728.06,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
14/01/2015 9:36,14/01/2015,clientA,Australia Pty Ltd,198x129,B,360,360pp,N,PB,PERFECT,561,561,470.04,200,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
14/01/2015 10:21,14/01/2015,clientA,Australia Pty Ltd,178x111,AB,464,464pp,N,PB,PERFECT,357,357,373.43,100,N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0320-050
14/01/2015 11:02,14/01/2015,clientB,AU,198x128,B,392,"288pp, 72pp, 32pp",N,PB,PERFECT,"4,219.00","4,297.70","3,632.30","2,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
14/01/2015 15:31,14/01/2015,clientA,Australia Pty Ltd,233x154,C,384,384pp,N,PB,PERFECT,"5,102.50","5,208.38","2,900.94","1,500",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-065
15/01/2015 7:53,15/01/2015,clientA,Australia Pty Ltd,198x129,B,416,416pp,N,PB,PERFECT,"8,655.00","8,772.99","5,540.56","5,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
15/01/2015 8:44,15/01/2015,clientB,AU,198x128,B,352,"288pp, 64pp",N,PB,PERFECT,"4,198.00","4,260.70","5,419.23","1,500",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
15/01/2015 9:12,15/01/2015,clientB,AU,198x128,B,376,"288pp, 72pp, 16pp",N,PB,PERFECT,"5,538.00","5,662.95","5,722","3,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
15/01/2015 12:10,15/01/2015,clientA,Australia Pty Ltd,198x129,B,432,432pp,N,PB,PERFECT,"1,237.00","1,237.00",789.71,500,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
15/01/2015 13:06,15/01/2015,clientB,AU,198x128,B,324,"288pp, 36pp",N,PB,PERFECT,"3,209.50","3,272.43","2,509.79","1,500",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
16/01/2015 11:16,16/01/2015,clientA,Australia Pty Ltd,233x154,C,432,432pp,N,PB,PERFECT,0,81.37,458.82,150,N/A ,Done,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-0320-065
16/01/2015 11:53,16/01/2015,clientB,AU,198x128,B,600,"480pp, 48pp, 72pp",N,PB,PERFECT,"7,037.00","7,060.14","7,635.44","3,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
16/01/2015 13:59,16/01/2015,clientA,Australia Pty Ltd,233x154,C,336,336pp,N,PB,PERFECT,0,70.67,428.69,160,N/A ,Done,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-0320-065
19/01/2015 7:07,19/01/2015,clientA,Australia Pty Ltd,233x154,C,368,"336pp, 32pp",N,PB,PERFECT,"14,756.51","13,663.01","7,180.86","6,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-065
19/01/2015 8:17,19/01/2015,clientB,AU,198x128,B,432,"384pp, 48pp",N,PB,PERFECT,"4,805.00","4,895.90","5,995.83","2,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
19/01/2015 11:05,19/01/2015,clientB,AU,198x128,B,320,"288pp, 32pp",N,PB,PERFECT,"2,521.40","2,560.22","2,639.03","1,200",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
19/01/2015 14:30,19/01/2015,clientB,AU,198x128,B,200,"96pp, 32pp, 72pp",N,PB,PERFECT,"3,780.00","3,874.35","3,138.08","5,200",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
19/01/2015 14:52,19/01/2015,clientB,AU,198x128,B,432,"384pp, 48pp",N,PB,PERFECT,"5,714.00","5,730.36","4,799.77","3,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
20/01/2015 7:49,20/01/2015,clientB,AU,230x175,C+,192,192pp,N,PB,PERFECT,"6,190.00","6,354.00","9,834.69","2,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,PUBLIM-0760-090
20/01/2015 12:54,20/01/2015,clientA,Australia Pty Ltd,181x111,A,304,304pp,N,PB,PERFECT,"10,360.00","10,617.86","8,117.12","10,000",N/A ,N/A ,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-0980-055
20/01/2015 15:00,20/01/2015,clientB,AU,198x128,B,256,"192pp, 64pp",N,PB,PERFECT,"3,190.40","3,254.13","2,899.70","2,600",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
21/01/2015 7:35,21/01/2015,clientB,AU,198x128,B,400,"384pp, 16pp",N,PB,PERFECT,"5,767.00","5,957.50","5,340.63","5,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
21/01/2015 8:51,21/01/2015,clientB,AU,198x128,B,184,"96pp, 72pp, 16pp",N,PB,PERFECT,"3,069.00","3,120.97","3,740.08","4,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
23/01/2015 8:13,23/01/2015,clientB,AU,198x128,B,352,"288pp, 64pp",N,PB,PERFECT,"4,273.80","4,278.17","3,044.97","3,200",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
23/01/2015 11:32,23/01/2015,clientA,Australia Pty Ltd,178x111,A,496,496pp,N,PB,PERFECT,"1,012.00","1,012.00",794.25,400,N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
23/01/2015 12:13,23/01/2015,clientA,Australia Pty Ltd,178x111,AB,240,240pp,N,PB,PERFECT,292,292,341.66,100,N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0320-050
23/01/2015 12:48,23/01/2015,clientA,Australia Pty Ltd,178x111,A,288,288 pp,N,PB,PERFECT,"3,080.00","3,080.00","1,647.38","1,000",N/A ,N/A ,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBO-0980-050
27/01/2015 12:55,27/01/2015,clientA,Australia Pty Ltd,233x154,C,352,352pp,N,PB,PERFECT,0,110.45,623.42,260,N/A ,N/A ,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-0980-065
28/01/2015 7:52,28/01/2015,clientB,AU,216x135,C,304,"256pp, 48pp",N,PB,PERFECT,"5,556.99","5,697.84","4,166.21","3,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
28/01/2015 15:42,28/01/2015,clientA,Australia Pty Ltd,198x129,B,416,"384pp, 32pp",N,PB,PERFECT,"12,729.00","12,917.03","8,775.61","10,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-1140-050
29/01/2015 9:09,29/01/2015,clientA,Australia Pty Ltd,233x154,C,312,312pp,N,PB,PERFECT,0,52.8,245.15,75,N/A ,Done,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBOW-0320-073
29/01/2015 10:14,29/01/2015,clientB,AU,198x128,B,336,"288pp, 48pp",N,PB,PERFECT,"8,343.00","8,502.48","4,701.44","10,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-065
29/01/2015 13:53,29/01/2015,clientA,Australia Pty Ltd,233x154,C,320,320pp,N,PB,PERFECT,0,52.8,249.63,80,N/A ,Done,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-0320-065
